"ID","Subject","Message","Day","Month","Year","AddedBy","DateAdded","propertyCode"
90,"Office Closed","",25,12,2007,"",2007-11-27 13:55:27,"109WIN"
91,"Office Closed","Office closed for holiday party",6,12,2007,"",2007-11-27 13:56:26,"109WIN"
96,"","",15,12,2007,"",2007-11-28 15:39:48,"98SWT"
97,"","",15,12,2007,"",2007-12-04 10:10:40,"98SWT"
98,"","Happy New Year to everyone!!",1,1,2008,"",2007-12-27 15:31:29,"54APW"
100,"Office Closing Early","",24,12,2007,"",2007-12-27 17:43:24,"116BLF"
102,"Office Closed","",1,1,2008,"",2007-12-27 17:43:45,"116BLF"
106,"New Years Day","",1,1,2008,"",2007-12-27 17:44:32,"116BLF"
107,"","Resident Renewal Party 2:00-5:30
",18,1,2008,"",2008-01-03 15:34:24,"47POR"
108,"","Rent late",4,1,2008,"",2008-01-08 14:51:17,"109WIN"
110,"Rent Due!","",1,1,2008,"",2008-01-08 14:51:38,"109WIN"
111,"HAPPY VALENTINE DAY","",14,2,2008,"",2008-01-24 12:34:37,"95CCE"
113,"Happy Birthday to all in February!","",1,2,2008,"",2008-01-29 13:06:09,"96LWB"
115,"Crime Free Housing Dinner","",11,3,2008,"",2008-02-22 09:58:09,"94GWA"
118,"Payroll to Robin ","send by 10:00am",20,3,2008,"",2008-02-22 10:07:49,"52HHA"
120,"enter bill ASAP","",3,3,2008,"",2008-02-22 10:09:29,"52HHA"
124,"Marketing Survey to Robin","",28,3,2008,"",2008-02-22 10:13:30,"52HHA"
125,"Month End Report","",31,3,2008,"",2008-02-22 10:14:49,"52HHA"
130,"Month End report ","",29,3,2008,"",2008-02-22 10:34:22,"52HHA"
132,"UHC inspection at Holladay Hills","9:00 am to 5:00pm",27,2,2008,"",2008-02-22 10:49:19,"52HHA"
133,"Month End","",29,2,2008,"",2008-02-22 10:49:31,"52HHA"
141,"PROPERTY INSPECTION","",8,2,2008,"",2008-02-22 10:55:17,"52HHA"
150,"Late Fees Start","",4,2,2008,"",2008-02-22 11:45:09,"91WSV"
152,"Pest Control","Pest Control",26,2,2008,"",2008-02-22 14:10:45,"89VLP"
153,"Pest Control","Pest Control",19,2,2008,"",2008-02-22 14:11:13,"89VLP"
154,"Pest Control","Pest Control",12,2,2008,"",2008-02-22 14:11:26,"89VLP"
156,"Unit Inspection","Unit Inspection",27,2,2008,"",2008-02-22 14:15:29,"89VLP"
159,"","Rent Due",3,3,2008,"",2008-02-28 10:34:15,"65SPD"
162,"Late Fees Begin","",4,3,2008,"",2008-02-28 13:35:39,"91WSV"
163,"Egg Hunt","Meet in the Tot lot @ 3:30PM",21,3,2008,"",2008-03-06 15:32:10,"113RFA"
166,"Open House<br>Newly Rennovated","showing newly rennovated units ",8,3,2008,"",2008-03-06 21:09:13,"97CRY"
171,"Pest Control","",18,3,2008,"",2008-03-11 12:31:23,"89VLP"
172,"Pest Control","",25,3,2008,"",2008-03-11 12:31:32,"89VLP"
173,"POOL REOPENS!!!!","",16,3,2008,"",2008-03-11 12:31:52,"89VLP"
174,"","",12,3,2008,"",2008-03-11 12:32:05,"89VLP"
175,"Court dates filed","",12,3,2008,"",2008-03-11 12:32:26,"89VLP"
176,"RENT DUE!","",1,3,2008,"",2008-03-11 12:32:37,"89VLP"
177,"5 Day Notices go out","",5,3,2008,"",2008-03-11 12:32:55,"89VLP"
178,"5 days expire","",10,3,2008,"",2008-03-11 12:33:07,"89VLP"
179,"Rent due tomorrow","",31,3,2008,"",2008-03-11 12:33:21,"89VLP"
180,"Mesa Voting Station 5am to 7pm","",11,3,2008,"",2008-03-11 12:34:26,"89VLP"
181,"Building painting starts!!","",13,3,2008,"",2008-03-11 12:35:42,"89VLP"
182,"","Rent Due.",1,4,2008,"",2008-03-12 13:48:50,"94GWA"
185,"Pest Control"," ",3,4,2008,"",2008-03-12 13:52:49,"94GWA"
186,"Trash Pick Up","",5,4,2008,"",2008-03-12 13:50:17,"94GWA"
191,"Trash Pick up","",8,4,2008,"",2008-03-12 13:51:10,"94GWA"
200,"Trash pick up","",10,4,2008,"",2008-03-12 13:53:55,"94GWA"
14,"Office Closed","Please enjoy a happy and safe holiday.",4,7,2007,"",2007-06-07 10:33:50,"109WIN"
93,"Merry Christmas","",25,12,2007,"",2007-11-28 13:48:24,"202PEN"
101,"Office Closed","",25,12,2007,"",2007-12-27 17:43:31,"116BLF"
109,"Rent Late!","",4,1,2008,"",2008-01-08 14:51:31,"109WIN"
119,"Bills to Robin am","send by 2:00pm",4,3,2008,"",2008-02-22 10:08:49,"52HHA"
187,"Office Closed","",6,4,2008,"",2008-03-12 13:50:32,"94GWA"
189,"Office Closed","",20,4,2008,"",2008-03-12 13:50:51,"94GWA"
201,"Pest control","",17,4,2008,"",2008-03-12 13:54:03,"94GWA"
203,"Pest control","",24,4,2008,"",2008-03-12 13:54:20,"94GWA"
205,"Trash pick up","",12,4,2008,"",2008-03-12 13:54:41,"94GWA"
210,"Resident appreciation week","Goody Bags delivered door to door ",24,3,2008,"",2008-03-26 12:50:43,"113RFA"
211,"Breakfast 9:30 AM","",12,4,2008,"",2008-04-02 13:36:04,"06COV"
213,"Game Night 6:30 PM Dominoes","",1,4,2008,"",2008-04-02 13:36:44,"06COV"
216,"Ceramics 2 PM","",2,4,2008,"",2008-04-02 13:37:31,"06COV"
215,"Exercise 8 AM","",2,4,2008,"",2008-04-02 13:37:08,"06COV"
218,"Pinochle 1 PM","",3,4,2008,"",2008-04-02 13:38:05,"06COV"
219,"Exercise 8 AM","",4,4,2008,"",2008-04-02 13:38:23,"06COV"
222,"Bingo 2 PM","",7,4,2008,"",2008-04-02 13:39:23,"06COV"
223,"Ask A Nurse 1:30-2:30 PM","",8,4,2008,"",2008-04-02 13:39:44,"06COV"
224,"Game Night 6:30 PM Rummikube","",8,4,2008,"",2008-04-02 13:40:02,"06COV"
226,"RENT DUE","PEST CONTROL",1,4,2008,"",2008-04-04 12:29:47,"89VLP"
227,"PEST CONTROL","",8,4,2008,"",2008-04-04 12:29:59,"89VLP"
229,"PEST CONTROL","",15,4,2008,"",2008-04-04 12:30:18,"89VLP"
230,"PEST CONTROL","",22,4,2008,"",2008-04-04 12:30:30,"89VLP"
231,"PEST CONTROL","",29,4,2008,"",2008-04-04 12:30:44,"89VLP"
232,"LATE FEES BEGIN","",5,4,2008,"",2008-04-04 12:31:18,"89VLP"
233,"COURT DATES FILED","",10,4,2008,"",2008-04-04 12:32:25,"89VLP"
234,"RENT DUE TOMORROW","",30,4,2008,"",2008-04-04 12:33:42,"89VLP"
236,"Rent Due","",1,4,2008,"",2008-04-18 13:58:09,"122SVS"
240,"Take Our Daughters and Sons to Work Day","",24,4,2008,"",2008-04-18 14:00:46,"122SVS"
242,"Last Day to Pay Rent","",3,5,2008,"",2008-04-18 14:02:34,"122SVS"
243,"Mothers Day","",11,5,2008,"",2008-04-18 14:02:47,"122SVS"
244,"Rent is Due","",1,4,2008,"",2008-04-18 14:05:24,"90WCA"
245,"National Chocolate Chip Day","",15,5,2008,"",2008-04-18 14:05:56,"122SVS"
248,"Rent Due","",1,6,2008,"",2008-04-18 14:07:30,"122SVS"
249,"Last Day To Pay Rent","",3,6,2008,"",2008-04-18 14:07:47,"122SVS"
252,"Independence Day","Office Closed",4,7,2008,"",2008-04-18 14:15:38,"122SVS"
253,"Rent Due","",1,8,2008,"",2008-04-18 14:15:53,"122SVS"
254,"Last Day To Pay Rent","",3,8,2008,"",2008-04-18 14:16:15,"122SVS"
256,"Last Day To Pay Rent","",3,9,2008,"",2008-04-18 14:16:40,"122SVS"
257,"Rent Due","",1,10,2008,"",2008-04-18 14:17:20,"122SVS"
258,"Last Day To Pay Rent","",3,10,2008,"",2008-04-18 14:17:31,"122SVS"
259,"Halloween","",31,10,2008,"",2008-04-18 14:17:44,"122SVS"
1109,"Christmas Eve","",24,12,2008,"",2008-12-22 11:56:34,"204FGA"
261,"Rent Due","",1,11,2008,"",2008-04-18 14:18:32,"122SVS"
263,"Rent Due","",1,12,2008,"",2008-04-18 14:19:14,"122SVS"
264,"Last Day To Pay Rent","",3,12,2008,"",2008-04-18 14:19:22,"122SVS"
265,"Christmas Eve","",24,12,2008,"",2008-04-18 14:33:59,"122SVS"
267,"New Years Eve","",31,12,2008,"",2008-04-18 14:34:22,"122SVS"
268,"New Years Day","",1,1,2009,"",2008-04-18 14:34:35,"122SVS"
274,"Rent is Late","Please be prepared to pay late fees.",4,6,2008,"",2008-04-18 15:40:49,"113RFA"
277,"Memorial Day","Office Closed",26,5,2008,"",2008-04-22 09:31:34,"109WIN"
281,"Tutoring","Tutoring 5pm-6pm",28,5,2008,"",2008-04-22 09:32:56,"109WIN"
283,"Eviction Filing","Eviction will be filed with attorney, $160 charge",9,5,2008,"",2008-04-22 09:34:03,"109WIN"
284,"POOL OPENS","",26,5,2008,"",2008-04-22 09:34:15,"109WIN"
286,"PEST CONTROL","",7,5,2008,"",2008-05-01 18:43:58,"89VLP"
290,"SPRING FLING PARTY 11-3pm","",10,5,2008,"",2008-05-01 18:51:52,"89VLP"
291,"RENT DUE!!!!","",1,5,2008,"",2008-05-01 18:49:38,"89VLP"
292,"RENT DUE TOMORROW","",31,5,2008,"",2008-05-01 18:50:02,"89VLP"
300,"Rent Is Due","",1,5,2008,"",2008-05-13 15:31:53,"127SBK"
435,"End Of Summer BBQ","1:00 - 4:00...  Come Hungry",30,8,2008,"",2008-07-17 16:11:23,"158LME"
719,"Halloween","Treats in the office from 4 pm - 6 pm!",31,10,2008,"",2008-10-20 10:56:37,"113RFA"
720,"Rent Due","",4,10,2008,"",2008-10-20 10:56:48,"113RFA"
306,"Rent Is Due","",1,6,2008,"",2008-05-13 15:33:10,"127SBK"
308,"Pest Control","",11,6,2008,"",2008-05-13 15:33:33,"127SBK"
438,"","Neighborhood Watch Meeting",22,7,2008,"",2008-07-18 11:06:06,"03HWD"
439,"Neighborhood Watch Meeting","",22,7,2008,"",2008-07-18 11:06:24,"03HWD"
454,"PEST CONTROL","PEST CONTROL",20,8,2008,"",2008-08-04 13:27:35,"89VLP"
729,"FOOD DRIVE","See office for details!",20,11,2008,"",2008-10-20 11:01:01,"113RFA"
730,"FOOD DRIVE","See office for details!",21,11,2008,"",2008-10-20 11:01:11,"113RFA"
731,"Rent Late","",4,11,2008,"",2008-10-20 11:01:22,"113RFA"
324,"Rent Is Due","",1,9,2008,"",2008-05-13 15:36:03,"127SBK"
734,"Rent Late","",4,12,2008,"",2008-10-20 11:02:54,"113RFA"
326,"Rent Is Late","",4,9,2008,"",2008-05-13 15:36:23,"127SBK"
1117,"New Years Day","Office Closed/ Rent Due",1,1,2009,"",2008-12-22 11:58:40,"204FGA"
744,"Halloween","Trick or Treaters 6 PM in the Clubhouse",31,10,2008,"",2008-10-24 10:30:36,"06COV"
330,"Rent Is Due","",1,10,2008,"",2008-05-13 15:36:55,"127SBK"
747,"Halloween Pot Luck 5:30pm","",30,10,2008,"",2008-10-24 10:31:34,"06COV"
332,"Rent Is Late","",4,10,2008,"",2008-05-13 15:37:13,"127SBK"
753,"Game Night 6:30pm","",28,10,2008,"",2008-10-24 10:33:05,"06COV"
337,"Rent Is Due","",1,11,2008,"",2008-05-13 15:38:04,"127SBK"
755,"Bingo 2pm","",27,10,2008,"",2008-10-24 10:33:30,"06COV"
756,"Breakfast 9:30am","",25,10,2008,"",2008-10-24 10:33:53,"06COV"
757,"Pampered Chef Party 1pm","",25,10,2008,"",2008-10-24 10:34:08,"06COV"
758,"Exercise 8am","",24,10,2008,"",2008-10-24 10:34:25,"06COV"
343,"Rent Is Due","",1,12,2008,"",2008-05-13 15:38:50,"127SBK"
759,"Movie Night 6:30pm - Game Plan","",24,10,2008,"",2008-10-24 10:34:52,"06COV"
345,"Rent Is Late","",4,12,2008,"",2008-05-13 15:39:04,"127SBK"
350,"Rent is Due","",1,5,2008,"",2008-05-15 15:12:26,"102LMO"
351,"Rent is Late","",4,5,2008,"",2008-05-15 15:12:36,"102LMO"
19,"Free Gift!","Please stop by this weekend to get a free gift!",14,7,2007,"",2007-07-09 14:55:36,"109WIN"
28,"Pool Closed for Winter","",10,9,2007,"",2007-08-29 11:09:29,"109WIN"
83,"Thanksgiving Dinner Giveaway","Last Day to Enter!!!",18,11,2007,"",2007-11-12 10:37:07,"109WIN"
99,"","Office Closed",25,12,2007,"",2007-12-27 17:43:09,"116BLF"
103,"Resident Function- Poker Night","",23,1,2008,"",2007-12-27 17:44:00,"116BLF"
104,"January Rent Due","",1,1,2008,"",2007-12-27 17:44:14,"116BLF"
112,"Happy Birthday  to all in January!","",1,1,2008,"",2008-01-29 13:05:43,"96LWB"
117,"payroll at Corporate Office","send by 10:00am",6,3,2008,"",2008-02-22 10:06:40,"52HHA"
122,"property Inspection send to Stephany","",10,3,2008,"",2008-02-22 10:11:24,"52HHA"
128,"report # 1.0.5 --#172 & weekly report","",10,3,2008,"",2008-02-22 10:18:45,"52HHA"
129,"report #105---# 172 & Weekly","",17,3,2008,"",2008-02-22 10:20:03,"52HHA"
131,"EVICTIONS","Evictions will be filed today. No Exceptions!!!",19,2,2008,"",2008-02-22 10:46:12,"47POR"
136,"3 days notices","",6,2,2008,"",2008-02-22 10:51:21,"52HHA"
140,"Property Inspection report","",25,2,2008,"",2008-02-22 10:54:50,"52HHA"
147,"Semi Annual Inspections","",26,2,2008,"",2008-02-22 11:30:05,"42EGA"
151,"Rent & Water Due","",1,2,2008,"",2008-02-22 11:45:48,"91WSV"
157,"Property Painting begins","",25,2,2008,"",2008-02-22 14:16:10,"89VLP"
167,"","Pest Control",4,3,2008,"",2008-03-11 12:24:10,"89VLP"
197,"Trash Pick up","",22,4,2008,"",2008-03-12 13:53:14,"94GWA"
199,"Pest control","",10,4,2008,"",2008-03-12 13:53:45,"94GWA"
206,"Trash pick up","",19,4,2008,"",2008-03-12 13:54:51,"94GWA"
33,"Office Will Reopen @ 9am","",4,9,2007,"",2007-09-06 16:39:02,"101HRA"
39,"Wine & Cheese Renewal Party!!!","Renewal Party!!! 5pm-7pm",17,9,2007,"",2007-09-13 13:27:27,"96LWB"
42,"Resident Suggestion Day","Snacks provided!",26,9,2007,"",2007-09-13 13:24:40,"96LWB"
53,"Christmas Eve","",24,12,2007,"",2007-09-17 15:37:31,"101HRA"
65,"Pest Control Service","",16,10,2007,"",2007-10-23 11:16:32,"67PCA"
66,"Pest Control Service","",23,10,2007,"",2007-10-23 11:16:35,"67PCA"
45,"Pool Side Pizza & Fun","We Love our Residents!",29,9,2007,"",2007-09-13 13:26:27,"96LWB"
47,"Happy Birthday to all in September =)","",1,9,2007,"",2007-09-13 13:29:55,"96LWB"
56,"New Years Day","",1,1,2008,"",2007-09-17 15:39:15,"101HRA"
57,"Valentines Day","",14,2,2008,"",2007-09-17 15:39:25,"101HRA"
58,"late fees charged","",4,10,2007,"",2007-10-08 10:43:26,"27SCW"
92,"Happy New Year!","",31,12,2007,"",2007-11-27 13:56:41,"109WIN"
94,"Rent day!!","",1,12,2007,"",2007-11-28 14:06:51,"202PEN"
95,"Christmas Day","Office Closed due for Holiday",25,12,2007,"",2007-11-28 15:31:09,"98SWT"
212,"Breakfast 9:30 AM","",26,4,2008,"",2008-04-02 13:36:18,"06COV"
217,"Balance & Strength Testing 9:30 AM","",3,4,2008,"",2008-04-02 13:37:54,"06COV"
220,"Massage Therapist 1:30 - 3:30 PM","",4,4,2008,"",2008-04-02 13:39:02,"06COV"
221,"Exercise 8 AM","",7,4,2008,"",2008-04-02 13:39:13,"06COV"
237,"","",3,4,2008,"",2008-04-18 13:58:54,"122SVS"
238,"Last Day To Pay Rent ","",3,4,2008,"",2008-04-18 13:59:21,"122SVS"
246,"Armed Forces Day","",17,5,2008,"",2008-04-18 14:06:34,"122SVS"
250,"Rent Due","",1,7,2008,"",2008-04-18 14:08:03,"122SVS"
251,"Last Day To Pay Rent","",3,7,2008,"",2008-04-18 14:08:13,"122SVS"
255,"Rent Due","",1,9,2008,"",2008-04-18 14:16:28,"122SVS"
266,"Christmas Day","",25,12,2008,"",2008-04-18 14:34:12,"122SVS"
269,"Rent is Due","",1,4,2008,"",2008-04-18 15:37:49,"113RFA"
270,"Rent is Late ","Please be prepared to pay late fees.",4,4,2008,"",2008-04-18 15:38:45,"113RFA"
273,"Rent is Due","",1,6,2008,"",2008-04-18 15:40:28,"113RFA"
285,"","PEST CONTROL",7,5,2008,"",2008-05-01 18:43:45,"89VLP"
287,"PEST CONTROL","",14,5,2008,"",2008-05-01 18:44:09,"89VLP"
288,"PEST CONTROL","",21,5,2008,"",2008-05-01 18:44:19,"89VLP"
293,"LATE FEES START","",5,5,2008,"",2008-05-01 18:50:34,"89VLP"
296," Leetsdale Volley Ball Team","call gabrielle at 720 331-5613 to join",15,5,2008,"",2008-05-09 13:11:15,"127SBK"
310,"Pest Control","",25,6,2008,"",2008-05-13 15:33:49,"127SBK"
319,"Rent Is Late","",4,8,2008,"",2008-05-13 15:35:16,"127SBK"
556,"Deadline for Early Bird Rent Payer ","Gas Card Drawing!",27,10,2008,"",2008-10-01 13:00:46,"132MRN"
560,"PEST CONTROL","",21,10,2008,"",2008-10-06 12:03:35,"89VLP"
338,"Rent Is Late","",4,11,2008,"",2008-05-13 15:38:10,"127SBK"
73,"Rent is Due","",1,11,2007,"",2007-10-23 11:18:08,"67PCA"
105,"Valentines Day","",14,2,2008,"",2007-12-27 17:44:23,"116BLF"
116,"payroll","send payrool to Robin by 10:00am",21,2,2008,"",2008-02-22 10:05:05,"52HHA"
121,"Bills to Robin","",18,3,2008,"",2008-02-22 10:09:55,"52HHA"
123,"Property Inspection to Stephany","",25,3,2008,"",2008-02-22 10:12:45,"52HHA"
137,"report #105, 172 & weekly","",4,2,2008,"",2008-02-22 10:53:13,"52HHA"
138,"Report # 105, 172 & weekly","",11,2,2008,"",2008-02-22 10:53:40,"52HHA"
142,"RENT IS LATE TODAY","Late fees will be accessed today by 9:00 a.m.",6,2,2008,"",2008-02-22 11:16:50,"47POR"
160,"Rent Due","",3,3,2008,"",2008-02-28 10:34:22,"65SPD"
161,"Rent & Water Due","",1,3,2008,"",2008-02-28 13:35:30,"91WSV"
169,"Pest Control","",4,3,2008,"",2008-03-11 12:31:00,"89VLP"
184,"Late Fees Begin","",2,4,2008,"",2008-03-12 13:49:16,"94GWA"
188,"Office Closed","",13,4,2008,"",2008-03-12 13:50:41,"94GWA"
190,"Office Closed","",27,4,2008,"",2008-03-12 13:50:59,"94GWA"
192,"Trash Pick up","",15,4,2008,"",2008-03-12 13:51:21,"94GWA"
194,"Rent due","",1,4,2008,"",2008-03-12 13:52:03,"94GWA"
202,"Trash pick up","",17,4,2008,"",2008-03-12 13:54:13,"94GWA"
126,"report to Webb #105","",3,3,2008,"",2008-02-22 10:16:29,"52HHA"
127,"report # 1.7.2 / Weekly report to Robin","",3,3,2008,"",2008-02-22 10:17:26,"52HHA"
134,"report  #105 , #172 and weekly to Robinn","",25,2,2008,"",2008-02-22 10:50:19,"52HHA"
135,"Payroll","",7,2,2008,"",2008-02-22 10:51:07,"52HHA"
139,"Report # 105,172 & weekly","",18,2,2008,"",2008-02-22 10:54:06,"52HHA"
143,"Semi Annual Inspections","Buildings #1 thru #5
Buildings #6 thru #10",19,2,2008,"",2008-02-22 11:26:33,"42EGA"
146,"Semi Annual Inspections","",21,2,2008,"",2008-02-22 11:28:57,"42EGA"
148,"Semi Annual Inspections","",27,2,2008,"",2008-02-22 11:30:15,"42EGA"
149,"Semi Annual Inspections","",28,2,2008,"",2008-02-22 11:30:21,"42EGA"
155,"Pest Control","Pest Control",5,2,2008,"",2008-02-22 14:13:28,"89VLP"
158,"report 2.5.2 to Jamie Mc Daniel 676-1643","delinquency report",6,3,2008,"",2008-02-25 14:04:45,"52HHA"
170,"Pest Control","",11,3,2008,"",2008-03-11 12:31:14,"89VLP"
228,"","",15,4,2008,"",2008-04-04 12:30:06,"89VLP"
239,"Administrative Professionals Day","",23,4,2008,"",2008-04-18 14:00:24,"122SVS"
241,"Rent Due","",1,5,2008,"",2008-04-18 14:02:19,"122SVS"
262,"Last Day To Pay Rent","",3,11,2008,"",2008-04-18 14:18:59,"122SVS"
275,"RENT LATE","",4,5,2008,"",2008-04-22 09:30:22,"109WIN"
289,"PEST CONTROL","",28,5,2008,"",2008-05-01 18:45:45,"89VLP"
294,"LEGAL FILED","",9,5,2008,"",2008-05-01 18:53:41,"89VLP"
564,"HAPPY HALLOWEEN!!","",31,10,2008,"",2008-10-06 12:04:38,"89VLP"
307,"Rent Is Late - Pest Control","",4,6,2008,"",2008-05-13 15:33:25,"127SBK"
309,"Pest Control","",18,6,2008,"",2008-05-13 15:33:41,"127SBK"
311,"Rent Is Due","",1,7,2008,"",2008-05-13 15:34:05,"127SBK"
313,"Rent Is Late","",4,7,2008,"",2008-05-13 15:34:23,"127SBK"
448,"Free Pest Control","",25,8,2008,"",2008-07-25 11:43:30,"86PHR"
318,"Rent Is Due","",1,8,2008,"",2008-05-13 15:35:08,"127SBK"
597,"Preventive Maintenance #480","",22,10,2008,"",2008-10-08 13:01:06,"76LMA"
624,"Haunted House","",6,10,2008,"",2008-10-14 16:37:48,"122SVS"
195,"Trash Pick up","",1,4,2008,"",2008-03-12 13:52:11,"94GWA"
196,"Trash Pick Up","",3,4,2008,"",2008-03-12 13:53:26,"94GWA"
198,"Trash Pick up","",29,4,2008,"",2008-03-12 13:53:35,"94GWA"
204,"Trash pick up","",24,4,2008,"",2008-03-12 13:54:31,"94GWA"
207,"Trash pick up","",26,4,2008,"",2008-03-12 13:55:00,"94GWA"
225,"","RENT DUE",1,4,2008,"",2008-04-04 12:28:52,"89VLP"
247,"Memorial Day","No Mail
Leasing Office Closed",26,5,2008,"",2008-04-18 14:07:05,"122SVS"
271,"Rent is Due","",1,5,2008,"",2008-04-18 15:39:08,"113RFA"
272,"Rent is Late","Please be prepared to pay late fees.",4,5,2008,"",2008-04-18 15:39:29,"113RFA"
276,"Office close at 4:30 pm","",6,5,2008,"",2008-04-22 09:30:36,"109WIN"
278,"Tutoring","Tutoring 5pm-6pm",7,5,2008,"",2008-04-22 09:32:13,"109WIN"
279,"Tutoring","Tutoring 5pm-6pm",14,5,2008,"",2008-04-22 09:32:21,"109WIN"
280,"Tutoring","Tutoring 5pm-6pm",21,5,2008,"",2008-04-22 09:32:41,"109WIN"
301,"Rent Is Late","",4,5,2008,"",2008-05-13 15:32:06,"127SBK"
548,"Office Closed","",21,9,2008,"",2008-09-15 14:59:24,"127SBK"
549,"Rent Late!","",4,10,2008,"",2008-09-22 17:31:49,"121LOW"
352,"Pest Control Service","Please call our office for pest control",7,7,2008,"",2008-06-18 16:56:24,"602STW"
354,"Pest Control Service","Please call our office for pest Control service",14,7,2008,"",2008-06-18 16:57:25,"602STW"
355,"Pest Control Service","Please call our office for Pest Control Service",21,7,2008,"",2008-06-18 16:57:49,"602STW"
