"ID","propertyCode","propertyName","propertyAddress","propertyCity","propertyState","propertyZip","propertyPhone","propertyFax","propertyEmail","propertyImage","propertyURL","propertyStatus","propertyPriceRange","propertyUnitType","propertySpecial","propertyMercial","propertyDescription","propertyHours","propertyPetPolicy","propertyDirections","propertyTheme","validation"
13,"21SPG","The Springs","7511 N. First Street","Fresno","CA","93720","5594391076","5594390898","thespringsapts@mindspring.com","thesprings.jpg","http://www.springsapts.com","Active","$885-$1350","1-3 Bedrooms","Call for specials","","Welcome to The Springs. Our convenient location puts you exactly where you want to be. We offer our residents the finest in modern amenities: including a fitness center, two swimming pools, and enclosed patios. With a wide variety of apartment designs, The Springs has a living space for every need. Visit us today to begin living the lifestyle you deserve. We also offer other features such as: beautiful landscaping (which includes lakes, and cascading springs), woodburning fireplaces, central air conditioning, private garages, a playground, a BBQ area, and laundry facilities with individual hookups in apartments.","Mon-Fri 8:00 to 5:00 <br />Sat 10:00 to 5:00 <br />Sun - Closed","Pets under 65 lbs. $25 per month pet rent","From I-41 traveling north: exit on East Herndon Avenue. Turn left on North First Street.&nbsp;The Springs is located to your left.","Tan_Theme.css",""
14,"20RIB","Riverbank","4433 Continental Way","Stockton","CA","95207","(209)477-6691","(209)957-1969","riverbank477@sbcglobal.net","riverbank.gif","http://www.riverbankapartments.com","Active","$595-$705","1-2 Bedrooms","Two Months Free Rent!","","From the very first day...you&rsquo;re at home. RIVERBANK CONDOMINIUMS IS LOCATED IN A CONVENIENT LOCATION...close to shopping. Riverbank is a quiet, secluded, gated community. We offer same day maintenance service. Our motto is &quot;RENT FOR THE VALUE, STAY FOR THE SERVICE!&quot;","Monday - Friday 9:00 A.M. - 6:00 P.M. <br />Saturday 10:00 A.M. - 4:00P.M.","Cats Only $250.00 Pet deposit","From I-5, take the March Lane exit and turn right. Make a right at West Lane. Go one block south and turn right at Bianchi Road. Turn left at the first stop sign- Townhome Drive. Go 2 blocks and turn left at Cabana Way.","Tan_Theme.css",""
15,"13VPA","Village Park","1083 N. 300 W.","Orem","UT","84057","(801)226-0064","(801)225-7566","villagepark@amcllc.net","villagepark.gif","http://www.villageparkapartments.com","Active","$739-$839-$909","2-3 Bedrooms","Awesome Specials Weekly!! ","","Located in the heart of Orem City, we feature spacious two and three bebroom apartments. Nice park-like atmosphere, close to schools and shopping. Convenient Location...Pet Friendly...Very Spacious Apartments...","Monday - Friday 9:00 A.M. - 6:00 P.M. <br />Saturday 10:00 A.M. - 4:00 P.M. ","2 pets maximum,&nbsp;no weight limit, $25 pet rent/month, $400 pet Deposit ($200 refundable + $200 nonrefundable).","From I-15 exit 800 North Orem Head East towards State St. At State St. head north. We are on the East side of the road behind Checker Auto.","Blue_Theme.css",""
104,"114SUM","Park Place at 92nd","9081 Federal Blvd","Westminster","CO","80260","(303)428-0128","(303)427-0903","parkplaceat92nd@amcllc.net","thesummit.jpg","http://www.ParkPlaceat92nd.com/","Active","$600-$868","1-3 Bedrooms","$600 1 bedroom BLOWOUT!!!","","Parkplace At 92nd&nbsp;was created for those who know what they want out of life! Our&nbsp;spacious homes provide carefree living with&nbsp;a great team here to take care of you, and not to mention our <strong>24 Hour</strong> Maintence service. You&rsquo;ll be surrounded by natural beauty and vitality. With our central location, you are just 20 minutes from Downtown, 7 minutes&nbsp;from&nbsp;the Westminster Mall, 5 minutes from Safeway and just 9 minutes away from Baker&nbsp;recreation center. With features such as <strong>high-speed internet</strong>, <strong>business center</strong>, <strong>fitness center</strong>, <strong>playground</strong>,and a <strong>swimming pool,</strong>you&rsquo;ll be living the good life at Parkplace At 92nd. ","<p>M-F: 9:00AM - 5:30 PM <br />Sat: 10:00AM - 4:00PM</p><p>Sun: Closed </p><p>SE HABLA ESPA&Ntilde;OL!!!</p>","<p>Cats and dogs are Welcome. Breed restrictions apply.</p>","From Hwy. 36: exit Federal Boulevard north past 90th&nbsp;Street then&nbsp;turn left half a block North&nbsp;continue into&nbsp;Parkplace At 92nd Apartment Homes.&nbsp;We are on the corner of 92nd and Federal.","Tan_Theme.css",""
109,"23CMP","Clearview","1554 Alder","Wendover","NV","89883","(775) 232-9392","888-734-2420","clearviewmhp@amcllc.net","noimage.gif","http://www.clearviewmobilehomes.com","Inactive","","Mobile Homes","","","Clearview Mobile Home Park is situated on 19+/- gently sloping acres in the heart of West Wendover, Nevada. This 166 space Park, developed in 1984, is 95% occupied with 6 vacant spaces. Presently, there are 3 Park owned homes. The Clearview homes are individually metered for water and sewer and with garbage are billed directly by the city. ","<p>Monday-Friday 8:30am-5:30pm</p><p>&nbsp;</p>","Dogs and Cats allowed","","Tan_Theme.css",""
114,"113RFA","The Promenade at Towne Center","100 S. Sable Blvd.","Aurora","CO","80012","(303)366-4004","(303)341-9505","promenade@amcllc.net","riverfalls.jpg","http://www.promenadeapartmenthomes.com","Active","$587-$697","1 and 2 bedrooms, 1 bath apartment homes.","May Free!! $199 moves you in!","","Rolling green lawns and lush mature landscaping! The Promenade at Towne Center offers a relaxed setting where you can stroll down our park-like paths or enjoy the solitude of your patio. At The Promenade at Towne Center, you will find the perfect blend of good living, reasonable prices and professional service.","<p>Monday thru Saturday 9 am - 7pm</p><p>Sunday&nbsp;12 pm -&nbsp;5 pm</p>","<p>Cats and Dogs Welcome</p><p>Breed restrictions apply</p><p>Pet Rent $25 per pet</p><p>Pet Fees - $300 ($150 refundable)</p>","<p>We are located on the East side of Sable Boulevard, one block East of I-225 between the exits of Alameda and 6th Ave.</p>","Blue_Theme.css",""
198,"606WMP","Green Leaf at Bountiful","453 West 1500 South","Bountiful","UT","84010","(801)292-4388","(801)294-4783","greenleafatbountiful@amcllc.net","westminsterpark.jpg","http://www.greenleafatbountiful.com","Active","$550-$725","Studio 1-2-3 Bedrooms","$99 Deposit","","THE BEST-KEPT SECRET IN BOUNTIFUL! Tucked away in a beautiful park-like setting, our location puts you minutes from downtown Salt Lake City, shopping, dining and entertainment. You’ll also find schools and parks within easy walking distance! Visit Green Leaf At Bountiful today to see why we are Bountiful’s best value! ","Mon-Fri 9:00 to 6:00 Saturday 10:00 to 4:00 Sunday Closed ","Pets Accepted Deposit: $300 Call for questions about our policies","From Salt Lake, take I-15 North to exit 318. At exit, head east on 2600 South. Go to 500 West, turn and continue going north to 1500 South. At 1500 South, turn right heading east. We are just ahead on your right. ","Sage_Theme.css",""
207,"608SUV","Sun Valley","2955 North 400 West","Layton","UT","84041","(801)773-1442","(801)773-9492","sunvalley@amcllc.net","sunvalley.jpg","http://www.sunvalleyapts.net/","Active","$449-$750","Apartments","$499 for One Bedrooms!","","Take advantage of the attractive mountain views and unbeatable amenities at Sun Valley Apartments. Our top notch management and maintenance team are excited to serve you! Watch for exciting upgrades on the outside and on the inside. Stop by today to find out more. You won&rsquo;t be disappointed. ","<p>Monday-Friday 9:00am to 6:00pm</p><p>Saturday 10:00am to 5:00pm</p>","<p>We welcome your pets up to 20 lbs.&nbsp;</p><p>$250 pet fee plus $25 pet rent per month.</p>","From 1-15 North, take exit 334. Turn right off exit. Continue east on SR-193 to 400 West. Our entrance is just before the intersection, on the right.","Sage_Theme.css",""
17,"18CVA","Chatham Village","16331 McFadden Ave.","Tustin ","CA","92780","(714) 836-5702","(714) 836-7569","chathamvillage@amcllc.net","chathamvillage.jpg","http://www.chathamvillageapts.com","Active","$1070-$1400","1-2 Bedrooms","","","ENJOY THE COMFORT AND CONVENIENCE OF CHARMING CHATHAM VILLAGE. Stop in today to view our spacious one and two bedroom floorplans-including our split-level townhomes. Our convenient location puts you within minutes of the 5, 22 and 55 Freeways, Metrolink, beaches, shopping and entertainment. Chatham Village-affordable housing within a lovely community.","M-F: 9:00 AM - 6:00 PM <br />Sat: 9:00 AM - 5:00 PM <br />Sun: Closed","NO pets allowed","From the 55 Freeway South, exit McFadden, turn right on Village Way, and left on McFadden. We are on the right. From the 55 Freeway North, exit McFadden, turn left on Pasadena, and left on McFadden. We are on the right.","Tan_Theme.css",""
18,"19VAT","Villas at Tustin","2414 N. Tustin Ave.","Santa Ana","CA","92705","(714) 547-4520","(714) 547-9025","leasing@villasattustin.com","villasattustin.gif","http://www.villasattustin.com","Inactive","$1050-$1510","studios, 1, and 2 Bedrooms","Up to one month free!!!","","The recently remodeled Villas at Tustin has a great location, terrific service, and fantastic prices all in one!. Featuring studio, 1-bedroom, 2-bedroom, and 2-bedroom townhomes. The Villas at Tustin is in the center of Orange county and is close to everything from shopping to dining, to entertainment, and schools! The 5, 55, and 22 freeways provide access to all that Southern California has to offer, including Disneyland, Main Place, South Coast Plaza, and the Marketplaces of Irvine/Tustin. ","M-F: 9:00 AM - 6:00 PM <br />Sat: 9:00 AM - 6:00 PM <br />Sun: 10:00 AM - 5:00 PM ","Small pets only, up to 30 pounds. ","From Fwy. 22 east: exit Tustin Ave and turn right, go South about one block and The Villas at Tustin is on the right-hand side. From Fwy. 55: exit 17th Street and go west to Tustin Avenue. Make a right on Tustin and The Villas at Tustin is on the left-hand side, just past Santa Clara Ave.","Sage_Theme.css",""
19,"17SEA","Sea Pointe Villas","1380 Village Way","Costa Mesa","CA","92626","(714)662-7368","(714)662-7229","seapointe@amcllc.net","seapointe.jpg","http://www.seapointevillas.com","Active","$1245-$1820","1-2 bedrooms","","","This beautiful gated community has so much to offer. Set within a lush oasis of exceptional landscaping, Sea Pointe offers large 1, 2 and 3 bedroom condo-style apartment homes. We feature washer/dryers, fireplaces, walk-in closets, greenhouse windows, a pool, spa, sauna, fitness center and much more. Our motto is...we care. Come and see why.","Closed Monday<br>
Tues-Sat. 9:00 to 6:00 <br>
Closed Sunday
","We welcome *small pets. (*On approval. Some restrictions apply).","Exit harbor and go south. Turn left on Village Way. Make a right afer Baker. We are on the left.","Tan_Theme.css",""
20,"06COV","Coventry Cove ","12800 S. 2091 W.","Riverton","UT","84065","(801)307-1600","(801)307-1601","coventrycove@amcllc.net","coventrycove.jpg","http://www.coventrycoveapts.com","Active","$699-$995","1-2 Bedrooms","$99 Deposit OAC ","","A lifestyle for today&rsquo;s seniors! Convenience, privacy and tranquility are yours at Coventry Cove Apartments. A newer community specifically designed to embrace a carefree, enjoyable lifestyle for adults 55 years and older. Relax in the friendly atmosphere or take part in our planned activities and amenities our community has to offer. Ask about our health services and free Rx delivery.","Mon-Fri 9:00 to 5:00 <br />Saturdays by Appointment <br />Sunday - Closed ","<p>We welcome your pets up to&nbsp;25 lb weight limit!&nbsp; Call us for more information!&nbsp; Non-Refundable Pet Deposit $250 &amp; $25 monthly pet fee&nbsp;per pet </p>","From I-15 take the Riverton/Draper Exit #291, turn west onto 12300 South to Redwood Rd turn South to 12800 South turn West to property","Blue_Theme.css",""
28,"15TPA","Torrey Pines","851 S. Sunset Ave.","West Covina","CA","91790","(626)962-2231","(626)851-4742","manager@torreypinesapartments.com","torreypines.jpg","http://www.torreypinesapartments.com ","Inactive","$1395-$1850","1-3 Bedrooms","","","Service...Convenience...Comfort...it’s all at Torrey Pines. We invite you to tour our community and meet our great team. We feature two and three bedroom floorplans in the great city of West Covina. Our location is central to freeways, shopping, entertainment and the West Covina school district. Find you new home at Torrey Pines and enjoy meeting your new neighbors with our planned resident activities. ","Mon-Fri 9:00 to 6:00 <br>
Sat 9:00 to 6:00 <br>
Sun - 10:00 to 5:00","Pets Welcome!","Located just east of the 605 freeway, off the 10.  Exit West Covina Pkwy, Southbound.  Right on Sunset Avenue.
","Tan_Theme.css",""
83,"107BCA","Belle Creek","9458 Longspeak Dr. Suite #110","Henderson","CO","80640","(303) 286-1439","(303) 286-3905","bellecreek@amcllc.net","bellecreek.jpg","http://www.bellecreekapts.com/","Active","$600-$1028","1-3 Bedrooms","Deposit Special $199 *limited time","","<p>Belle Creek Apartments have a big city design with a hometown feel. We have three spacious floorplans to choose from so we know one is right for you! With the 2007 AMC property manager and maintenance tech of the year, Belle Creek is dedicated to service and finding the right fit for your needs. Hurry In!!! They don&#39;t last long!!!</p>","Monday-Friday 9:00&nbsp;to 6:00<br />Saturday 10:00&nbsp;to 5:00<br />Closed on Sundays","<p>2 animals per apartment. Breed and weight restrictions. Call for more information.</p>","<p>Take HWY 76 North. Just past 104th, turn left onto Longspeak Dr. We are located at 9458 Longspeak Dr Suite #110 across form Bloomfield Florist.</p>","Blue_Theme.css",""
94,"112MKT","52nd Marketplace","7797 West 52nd Ave.","Arvada","CO","80002","(303) 424-4900","(303) 424-2174","52ndmarketplace@amcllc.net","52ndmarketplace.jpg","http://www.52ndmarketplaceapts.com","Active","$575 to $1040","1-2 Bedrooms","$500 Look and Lease!!","","<p>&quot;Pursuing Perfection&quot;&nbsp; Oustanding price, quality and service are what you&rsquo;ll find &nbsp;at 52nd Marketplace! We offer beautiful floorplans, sparkling pool and high-speed internet. We&rsquo;re also conveniently located just minutes from I-70 and footsteps from shopping, schools and parks. Relax...you&rsquo;re always at home at 52nd Marketplace</p><p>24hour Fitness Center, Club House and Business Center with Wireless Internet</p>","<table border=""0""><tbody><tr align=""left""><td>Mon-Fri</td><td width=""5"">&nbsp;</td><td valign=""top"">9:00 to 6:00</td></tr><tr align=""left""><td>Saturday</td><td width=""5"">&nbsp;</td><td valign=""top"">10:00&nbsp;to5:00</td></tr><tr align=""left""><td>&nbsp;</td><td width=""5"">&nbsp;</td><td valign=""top"">&nbsp;</td></tr></tbody></table>","<p>Cats and Small Dogs with a $150 Deposit and $150 Non Refundable $20 Monthly Fee</p>","From I-70, go north on Wadsworth 1/4 mile. Turn left on 52nd. Avenue. Go 1/4 mile and turn right when you see our sign. ","Sage_Theme.css",""
103,"153PYR","Pyramid Apartments","7055 East Lake Mead Blvd.","Las Vegas","NV","89156","(702) 438-6199","","pyramid_apts@prmc.com","pyramidapartments.jpg","http://www.pyramidapts.com","Inactive","$745-$900","1-2 Bedrooms","","","Come home to the Pyramid. Just minutes from Nellis Air Force Base, this community offers outstanding amenities, at a reasonable price, Visit today and take in our spectacular city views and prepare to be impressed. Reserve you new home today!","Sun, Mon, Tues, Wed, Thur, Fri, Sat  8:00 to 5:00","","Take US-95 exit East on Charleston, turn left on Hollywood, right on East Lake Mead Boulevard and we’re on the right.  See Map ","Sage_Theme.css",""
21,"30SBA","Shadowbrook","3860 S. Redwood Rd.","West Valley City","UT","84119","(801)972-6666","(801)972-6683","shadowbrook@amcllc.net","shadowbrook.jpg","http://www.shadowbrookapartments.com","Active","$599-$875","Studio,1,2 bedrooms","UP TO 2 MONTHS FREE!!!!","","From the very first day...you&rsquo;re at home. The experience begins the moment you approach the spectacular waterfall entrance. The excitement builds as you notice the beautifully landscaped grounds. And then, in the heart of it all... the premier resort-class amenities you richly deserve. The experience can be yours when you make Shadowbrook your new home.","Mon-Fri 9:00 to 6:00 <br />Saturday 10:00 to 4:00 <br />Sunday Closed ","Pet deposit (per pet) Under 25lbs. $300/150 non-ref limit 2 $35/mo per pet Breed Restrictions!","From I-215 exit 3500 South. Head east to Redwood Road, turn right. Follow about 1/2 mile to Shadowbrook on your right.","Sage_Theme.css",""
22,"31OVP","Overlook Point","4612 S. 2930 W.","West Valley City","UT","84119","(801)966-0132","(801)967-7313 ","overlookpoint@amcllc.net","overlookpoint.jpg","http://www.overlookpointapts.com","Active","$650-$1025","1-2-3 bedrooms","One Bedrooms start @ just $599!! Get 1/2 month FREE this week!!","","<p>From the very first day. . . you&#39;re at home at Overlook Point! We have spent a long time building a strong and valued relationship with our community&nbsp;in West Valley&nbsp;and we look forward to building that same&nbsp;relationship with you as a new resident. From the spectacular mountain view to the convenient location and year round&nbsp;swimming pool, Overlook Point offers many exciting amenities. &nbsp;</p>","Mon-Fri 9:00 to 6:00 <br />Saturday 10:00 to 4:00","Cats and Dogs up to 65lbs. Limit 2 per apartment","From I-215 exit at 4700 South, turn west. Follow about 2 blocks to Overlook Point on your right.","Blue_Theme.css",""
23,"41DSA","Desert Sky","9655 Las Vegas Blvd.","Las Vegas","NV","89123","(702) 270-2012","(702) 270-2016 ","leasing@desertskyapts.com","desertsky.jpg","http://www.desertskyapts.com","inactive","$700-$980","1-3 bedrooms","","","Las Vegas style and elegance will greet you as you enter through our gates to Desert Sky Apartments. Each home has been designed with your comfort in mind. Our three floorplans, The Crimson, Amber and Cyan offer distinct interior features such as, fully equipped designer kitchens complete with balanced power, microwaves, stainless steel sinks, breakfast bars and white cabinetry. Additional features include ceiling fans, French doors, garden tubs, full size washer/dryer, ceramic tile entries and vaulted ceilings. 
","M-F: 8:00 AM - 6:00 PM<br>
Sat: 8:00 AM - 5:00 PM<br>
Sun: 12:00 PM - 5:00 PM ","&#183; Cats
&#183; Small Dogs
$300 pet fee and $15 monthly pet rent.","From I-15 south: Exit at Blue Diamond to Las Vegas Boulevard. Desert Sky Apartments is on the right. ","Tan_Theme.css",""
24,"12PSA","Pleasant Springs","884 West 700 South","Pleasant Grove","UT","84062","(801)922-9400","(801)922-9401","pleasantsprings@amcllc.net","pleasantsprings.jpg","http://www.pleasantspringsapts.com","Active","$799-$949","1-3 Bedrooms","$199 Deposit/FREE PHONE & CABLE","","<p>Welcome home to Pleasant Springs, Pleasant Grove&rsquo;s premier apartment community. Pleasant Springs embodies all the comforts of luxury living yet located in a quiet country setting. Every quality feature and amenity was designed with your upmost comfort in mind. Come experience a superior lifestyle at Pleasant Springs today!&nbsp; Same Day Approval!&nbsp; Flexible Lease Terms!</p><p>As one door closes, another opens... </p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Pleasant Springs understands Foreclosures!</p>","Monday - Friday 9:00 to 6:00<br />Saturday 10:00 to 4:00","Pets welcome in select buildings. Weight Limit 50lbs.. Restricted Breeds. Pets 35pds and under $500 pet deposit $25 monthly pet rent. Pets 36-50 pds $600 pet deposit $50 monthly pet rent. ","I-15 take exit #275 (Pleasant Grove/Lindon Exit) and head East. Take a right at 700 South, we are approximately 1/2 mile down on the left.","Tan_Theme.css",""
25,"40SRA","Sunset Ridge","5910 Vista Ridge Point","Colorado Springs","CO","80918","(719)598-1400","(719)598-6440","leasing@sunsetridgeamc.com","sunsetridge.jpg","http://www.sunsetridgeamc.com","inactive","$650-$1215","1-3 bedrooms","Up to $1200 Free Rent - Military Discounts","","This beautiful, modern apartment community is situated in fast-growing northeast Colorado Springs, and features panoramic views and luxury amenities. Easy access to major through-fares, employers, schools, and parks makes living at Sunset Ridge a pleasure. They&#8217;re all just minutes away. You&#8217;ll live in style and comfort, with quality management and competitive rents. Enjoy the sparkling pool, enticing hot tub, and complete fitness center. Brighten your life, at Sunset Ridge. ","Mon- Fri 9-6
Sat 10-5
Sun 10-3
","Cat and Dogs up to 50 pounds. Per pet a $300 deposit ($150 refundable). Pet rent is $25 per month.","From Academy turn north on Vickers Dr. East on Vickers Dr to Sunset Ridge.
","Tan_Theme.css",""
