"id","propertyCode","currentNews"
102,"202PEN","<p><strong><em><font size=""3"" color=""#953618"">Thank you for Visit Penny Lane!!!!</font></em></strong></p>"
103,"202PEN","<p><strong><em><font face=""impact,chicago"" size=""5"" color=""#000000"">Great move in Specials!!!!</font></em></strong></p>"
104,"202PEN","<p><strong><font size=""4"" color=""#ff00ff"">Pool Parties for residents!</font></strong></p>"
106,"116BLF","<p><font size=""4""><em>24 Hour Look and Lease Specials!!!&nbsp;</em></font></p><p><font size=""4""><em><u>One month free&nbsp;on all Immediate Move Ins.</u> Must sign a 12 month lease. </em></font></p><p><font size=""4""></font></p><p><font size=""4""><em>Stop by today&nbsp;to reserve your new home!</em></font></p>"
258,"167SMR","<p><font face=""georgia,palatino"" size=""5"" color=""#ff0000"">SPRING BLOW-OUT!!!&nbsp;</font></p><p><font face=""georgia,palatino"" size=""5"" color=""#ff0000"">With 2 months FREE RENT prices start as low as .....$609.00 a month!!</font></p><p><font face=""Georgia"" size=""5"" color=""#ff0000"">+ $299.00 off your move in costs for immediate move-ins!!!</font></p>"
108,"113RFA","<p><strong><font face=""comic sans ms,sand"" size=""5"">The Promenade at Towne Center</font></strong></p><p><strong><font size=""5"" color=""#33cccc"">May&nbsp;Free!</font></strong></p><p><strong><font size=""5"" color=""#33cccc"">$199 moves you in!</font></strong></p><p><strong><font face=""Comic Sans MS"" size=""5"" color=""#3366ff"">Remodeled Homes!</font></strong></p><p><strong><font face=""Comic Sans MS"" size=""5"">Cyber Cafe, Theatre, Brand New Fitness Center, Clubhouse</font></strong></p>"
109,"132MRN","<p><font face=""arial,helvetica,sans-serif"" size=""6"" color=""#ff0000"">HURRY IN FOR OUR GREAT SPECIALS!!</font></p><p><font face=""Arial"" size=""4"" color=""#ff0000"">Give us a call!!<br />303-986-9742!!</font></p>"
115,"129OAS","<p><em><font face=""arial black,avant garde"" size=""5"" color=""#000080"">Immediate move ins available! No Deposit!&nbsp; 3 months free over pro-rated over 12 month lease!</font></em></p>"
112,"109WIN","<p><strong><font face=""tahoma,arial,helvetica,sans-serif""><font size=""6""><font size=""1""><font size=""6"" color=""#0000ff"">FIRST MONTH </font></font></font></font></strong></p><p><strong><font face=""tahoma,arial,helvetica,sans-serif""><font size=""6""><font size=""1""><font size=""6"" color=""#0000ff"">FREE !!!</font></font></font></font></strong></p><p><strong><font face=""tahoma,arial,helvetica,sans-serif""><font size=""6""><font size=""1"" color=""#0000ff""></font></font></font></strong></p><p><strong><font face=""tahoma,arial,helvetica,sans-serif""><font size=""6""><font size=""1""><font color=""#0000ff""><font size=""6"">$142.00 </font></font></font></font></font></strong></p><p><strong><font face=""tahoma,arial,helvetica,sans-serif""><font size=""6""><font size=""1""><font color=""#0000ff""><font size=""6"">Moves You </font></font></font></font></font></strong></p><p><strong><font face=""tahoma,arial,helvetica,sans-serif""><font size=""6""><font size=""1""><font color=""#0000ff""><font size=""6"">In</font>wac &amp; app fee</font></font></font></font></strong></p><p><strong><font face=""Tahoma"" size=""1"" color=""#00ff00""></font></strong></p>"
291,"98SWT","<em><font face=""book antiqua,palatino"" size=""5"" color=""#0000ff"">$299.00 Move in specials!!!!!!!</font></em>"
117,"93TDS","<font face=""times new roman,times"" size=""4"">Tierra Del Sol Apartments&nbsp;has a monthly&nbsp;<strong>EARLY BIRD CONTEST!</strong> Pay your rent <em>BEFORE</em> the 1st of the month to be entered into a drawing. No need to do anything special, just pay your rent early. One winner per month. Call the office for details!</font>"
118,"108STC","<p>Reserve on your iniitial visit and get an EXTRA $500 off of&nbsp;JUNE RENT! Call Linda at 970-221-5328 for a private showing!</p>"
125,"76LMA","<font size=""2"">Get Paid to Pick your Neighbors...Resident Referrals&nbsp;<strong>$250.00!</strong><br /></font><br />&nbsp;<br /><br /><font size=""3"">Come check out our new </font><font face=""comic sans ms,sand"" size=""3""><font color=""#ff0000"">Accent</font> <font color=""#0000ff"">Wall</font> <font color=""#008000"">Program</font></font><font size=""3"">. </font><br /><br />&nbsp;<br /><br /><font size=""2"">Take a tour of Layton Meadows NEW Fitness Center and Business Center.</font>&nbsp; "
127,"91WSV","<strong><font face=""book antiqua,palatino"" size=""6"">NOW INCLUDING WASHER AND DRYERS&nbsp;/$199 Move IN special</font></strong>"
254,"608SUV","<span style=""font-size: 10pt; font-family: Arial"">We hope you are enjoying the exterior improvements we are making to your home! &nbsp;Thank you for your patience while we are finishing them.&nbsp; We value your residency and hope you will enjoy the other improvements coming your way too including the lounge remodel, new laundry equipment, fitness center remodel &amp; pool area enhancements.</span>"
130,"201LPP","<p><font face=""verdana,geneva"" size=""5"" color=""#993300""><strong><em><u>$250.00 Monthly rent for 2 bedrooms and 1 bath</u></em></strong></font></p>"
131,"201LPP","<p><font face=""book antiqua,palatino"" size=""5"" color=""#ff00ff""><strong>RENOVATED APARTMENTS!!!</strong></font></p>"
274,"166ENT","<p><font face=""impact,chicago"" size=""5"" color=""#993366""><strong>The 6 Top Reasons to live at Entrata di Paradiso!</strong></font></p><p><strong><font face=""Impact"" size=""5"" color=""#993366"">1.We are Pet Friendly!</font></strong></p><p><strong><font face=""Impact"" size=""5"" color=""#993366"">2. You will meet freinds to play with!</font></strong></p><p><strong><font face=""Impact"" size=""5"" color=""#993366"">3. Your kitchen will have lots of counterspace!</font></strong></p><p><strong><font face=""Impact"" size=""5"" color=""#993366"">4.Your friends will want to become your neighbors!</font></strong></p><p><strong><font face=""Impact"" size=""5"" color=""#993366"">5. The service team is professional!</font></strong></p><p><strong><font face=""Impact"" size=""5"" color=""#993366"">6.The on-site team is ALWAYS happy to see you!</font></strong></p>"
133,"201LPP","<p><strong><font size=""6"" color=""#0000ff"">TWO SWIMMING POOLS!!!!!</font></strong></p>"
134,"201LPP","<strong><font size=""7"" color=""#808000""><em>FREE PARKING!!!!!!!!!</em></font></strong>"
135,"38SHA","<p><strong><em><u><font face=""times new roman,times"" size=""4"">Close to work... Close to Play... Close to Perfect</font></u></em></strong></p><p><font face=""Times New Roman"" size=""4""><em>Sweetwater Heights Apartments offers just what you need at the best price in town!&nbsp; We are centrally located in a residential neighborhood and offer spacious 2 bedroom, 1 bathroom units.&nbsp;</em></font><em><font face=""Times New Roman"" size=""4"">Sweetwater Heights is a pet friendly community, with breed restrictions.&nbsp; </font></em></p><p><em><font face=""Times New Roman"" size=""4"">Call us today, and ask about our monthly specials! #307-382-6281</font></em></p>"
192,"34SUN","Come over to the Sunny Side!"
138,"605SME","<p><font face=""arial black,avant garde"" size=""1"" color=""#333300""><u>... Newly Remodeled&nbsp; with Washer and Dryer Hook-ups...</u></font></p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<font color=""#3366ff"">&nbsp;<font size=""3"">&nbsp;<font size=""1"">&nbsp;<strong><u> <font face=""tahoma,arial,helvetica,sans-serif"">**$99.00 Deposit**</font></u></strong></font></font></font></p><p><strong><font face=""Tahoma"" size=""4"" color=""#ff6600"">$300 off First Month of Rent&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </font></strong></p><p><strong><font face=""Tahoma"" size=""4"" color=""#ff6600"">Fitness Center</font></strong></p><p><strong><font face=""Tahoma"" size=""4"" color=""#ff6600"">Business Center</font></strong></p><p><strong><font face=""Tahoma"" size=""4"" color=""#ff6600"">Billiards Room</font></strong></p><p><strong><font face=""Tahoma"" size=""4"" color=""#ff6600"">Playground</font></strong></p><p><strong><font face=""Tahoma"" size=""4"" color=""#ff6600"">Two Pools</font></strong></p><p><strong><font face=""Tahoma"" size=""4"" color=""#ff6600"">Two Laundry Facilities</font></strong></p><p><strong><font face=""Tahoma"" size=""4"" color=""#ff6600"">Monthly Resident Activities</font></strong></p>"
226,"29CLA","<p><span class=""Apple-style-span"" style=""color: #000080; font-size: 24px; font-weight: bold"">$99 DEPOSIT!</span></p><p><span class=""Apple-style-span"" style=""color: #000080; font-size: 24px; font-weight: bold"">NO APPLICATION FEES!</span></p><p><font size=""2"" color=""#000000"">Limited time offer. &nbsp;Come in for more details!</font></p>"
142,"68SVA","<font face=""arial,helvetica,sans-serif"" size=""3"">Awesome Move in specials. $580 Moves you in no rent until Apr 1, 2009 on select units (oac).&nbsp; Call today they won&#39;t last! 916-344-1353</font>"
179,"73MPA","<p>Come see our newly updated property.</p><p>Awesome floorplans.</p><p>New exterior paint.</p><p>New Roofs.</p>"
145,"157RET","<p><strong><font size=""3"">Spring Season&#39;s great lowest rental rates!!!!</font></strong></p><p><font size=""2"">Come and check out our great&nbsp;lowest prices for our spacious condo style living apt. homes... Rents as low as <strong>1x1 = $720.00** &amp; 2x2 = $840.00**</strong> </font></p><p><font size=""2""></font></p>** selected units, limited time only"
146,"26FWA","<p><font face=""georgia,palatino"" size=""5"" color=""#800000"">Call For Our Move in Specials!</font></p><p><font face=""Georgia"" size=""3"" color=""#800000""><font color=""#000000"">One bedrooms starting at</font> <font color=""#ff0000"">$560.00</font> <font color=""#000000"">a month!</font></font></p><p><font face=""Georgia"" size=""3"" color=""#800000""><font color=""#000000"">Two Bedrooms at</font> <font color=""#ff0000"">$790.00</font> <font color=""#000000"">a month.</font></font></p><p><font face=""Georgia"" size=""3"" color=""#800000""></font></p>"
235,"609WNG","Ask us about our interior upgrades!"
149,"05CSP","<p><strong><em><font face=""georgia,palatino"" size=""3"">~VALENTINE&#39;S&nbsp;&nbsp;SPECIAL~</font></em></strong></p><p><strong><em><font face=""Georgia"" size=""3"">February&#39;s rent: $14,&nbsp;Application&nbsp;Fee: $14, Move in by the 14th.&nbsp; &nbsp;It&#39;s that simple!</font></em></strong></p><p><strong><em><font face=""Georgia"" size=""3"">One bedrooms starting at $639</font></em></strong></p><p><strong><em><font face=""Georgia"" size=""3"">Two bedrooms starting at $799</font></em></strong></p><p><strong><em><font face=""Georgia"" size=""3"">$99 Deposit OAC!</font></em></strong></p><p><font face=""georgia,palatino"" size=""3""><em><strong>Available&nbsp;for move-in today!</strong></em></font></p><p><strong><em><font face=""Georgia"" size=""3""></font></em></strong></p><p><strong><em><font face=""Georgia"" size=""3""></font></em></strong></p>"
155,"115LPA","<p><font face=""tahoma,arial,helvetica,sans-serif"" size=""4"" color=""#3366ff"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp;MARCH MADNESS EXTRAVAGANZA</font></p><p><font face=""Tahoma"" size=""4"" color=""#3366ff"">1 Bedrooms Starting at $499</font></p><p><font face=""Tahoma"" size=""4"" color=""#3366ff"">2 Bedrooms Starting at $632</font></p><p><font face=""Tahoma"" size=""4"" color=""#3366ff"">Hurry in for $450 Look and Lease!!!!!</font></p><p><font face=""Tahoma"" size=""4"" color=""#3366ff""></font></p>"
156,"30SBA","<p>UP TO 2 MONTHS FREE! CALL TODAY!</p>"
247,"401CHK","<font face=""andale mono,times"" size=""4""><em>Move-in Specials Change Daily</em></font>"
277,"170RFL","<p><font size=""5""><strong><font face=""courier new,courier"">$499 </font></strong><strong><font face=""courier new,courier""><font color=""#000000"">MOVE-IN SPECIAL AND REDUCED RENTS!</font></font></strong></font>&nbsp;</p><p><font size=""4"">Call for details, 702-254-0545.</font></p>"
160,"134GLN","<p><strong><font face=""book antiqua,palatino"" size=""5"">All our pricing currently includes up to two months free, prorated over your lease term! Plus, look and lease within 24 hours and get $500 off move in!</font></strong></p><p>&nbsp;</p><p>&nbsp;</p>"
163,"136VEA","<p><font face=""courier new,courier"" size=""4""><font face=""georgia,palatino"">Thanksgiving holilday party Friday november 21st from 3-6pm. Bring your own side dish to add to the fun!</font> </font></p>"
166,"205SEN","<p>&nbsp;</p><p><font color=""#800000""><font size=""3"">&nbsp;DISCOUNTED RENTS </font></font></p><p><font size=""3"" color=""#800000"">Spacious apartments starting at $460 a month!</font></p><p><font size=""3"" color=""#800000""></font></p><p><font size=""3"" color=""#800000""></font></p><font size=""3"" color=""#800000"">$299 move in special!!!</font>"
170,"301CHA","<p><font face=""comic sans ms,sand"" size=""4"" color=""#ff00ff"">SPRING HAS SPRUNG AT CHASE OAKS!&nbsp; BLOOMING SPECIALS HAVE ARRIVED!</font></p>"
174,"303HPL","Cozy up&nbsp;at Huntington Place this winter. Our special rates will keep you warm.&nbsp; "
292,"98SWT","<p><em><font face=""verdana,geneva"" size=""6""><font color=""#800080"">Computer room!</font></font></em></p>"
199,"200DSW","<p><font face=""arial black,avant garde"" size=""3"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <font face=""arial black,avant garde"">WELCOME TO YOUR NEW HOME</font> </font></p><p><font face=""arial black,avant garde"" size=""3"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;A GREAT PLACE TO CALL HOME!!!</font></p><p><font face=""arial black,avant garde"" size=""3"">Come and check our Great Move in Specials!&nbsp; <font color=""#ff0000"">$299 Moves you in</font> - call or stop by to find out how!</font></p><p>&nbsp;</p>"
278,"701MON","<p><font size=""6"">REFER A FRIEND AND RECIEVE $300.00 OFF YOUR RENT!!!!!</font></p>"
184,"40EC1","<p class=""MsoNormal""><span style=""font-size: 11pt; color: #1f497d; font-family: Arial""><strong><font face=""arial black,avant garde"" size=""5"" color=""#008000"">&quot;<u>March</u>&nbsp;in....</font></strong></span></p><p class=""MsoNormal""><span style=""font-size: 11pt; color: #1f497d; font-family: Arial""><strong><font face=""arial black,avant garde"" size=""5"" color=""#008000"">&nbsp;for great Savings!!! </font></strong></span></p><p class=""MsoNormal""><span style=""font-size: 11pt; color: #1f497d; font-family: Arial""><strong><font face=""Arial Black"" size=""5"" color=""#008000"">$299 MOVE IN!!! <font size=""2"">(o.a.c.)</font></font></strong></span></p><p class=""MsoNormal""><span style=""font-size: 11pt; color: #1f497d; font-family: Arial""><strong><font face=""arial black,avant garde"" size=""5"" color=""#ff0000""></font></strong></span></p><p class=""MsoNormal""><span style=""font-size: 11pt; color: #1f497d; font-family: Arial""><strong><font face=""arial black,avant garde"" size=""5"" color=""#ff0000""></font></strong></span></p><p class=""MsoNormal""><span style=""font-size: 11pt; color: #1f497d; font-family: Arial""><strong><font face=""arial black,avant garde"" size=""5"" color=""#ff0000""></font></strong></span></p><p class=""MsoNormal""><strong><font face=""arial black,avant garde"" size=""5"" color=""#000000""><span style=""font-size: 11pt; color: #1f497d; font-family: Arial"">Eagle Crest Apartments&nbsp;has drastically reduced prices!!!</span></font></strong></p><p class=""MsoNormal""><font size=""5""><font color=""#000000""><font face=""arial black,avant garde""><span style=""font-size: 11pt; color: #1f497d; font-family: Arial""><strong>Call 702-655-0026&nbsp;today,</strong></span><span style=""font-size: 11pt; color: #1f497d; font-family: Arial""><strong> these great deals won&#39;t last....now is a great time to call Eagle Crest&nbsp;your home....</strong></span></font></font></font></p><p class=""MsoNormal""><font face=""arial black,avant garde""><font size=""5"" color=""#008000""><span style=""font-size: 11pt; color: #1f497d; font-family: Arial""></span></font></font></p><p class=""MsoNormal""><font face=""arial black,avant garde""><font size=""5""><span style=""font-size: 11pt; color: #1f497d; font-family: Arial""></span></font></font><font color=""#008000""></font></p>"
190,"156CRO","<strong><font face=""georgia,palatino"" size=""6"">New Lower Rent Rates&nbsp;</font></strong>"
236,"141LCR","<p>We are currently offering a $500.00 Look &amp; Lease!!!</p><p>Tour your new apartment home today and leave a deposit within 24 hours and you will recieve an additional $500.00 off your move in cost!!!</p><p>Please call or stop&nbsp;by to schedule a tour of your new home!</p><p>303-362-0300&nbsp;</p><p>&nbsp;</p>"
293,"98SWT","<em><font face=""georgia,palatino"" size=""7"" color=""#000080"">Two Suimming Pools!!</font></em>"
289,"133ASP","<p><font face=""helvetica"" size=""6"" color=""#0000ff"">GREAT SPECIALS!! </font></p><p><font face=""helvetica"" size=""5"" color=""#0000ff"">Give us a call! 303-463-0688</font></p>"
219,"613TER","<p>&nbsp;</p><p>&nbsp;</p><p>Resident Valentines Party, Friday, February 13th from 3:00 - 5:00</p>"
243,"120RGA","<p><font face=""helvetica"" size=""2"" color=""#00ff00"">If you sign a 12 month lease&nbsp;now, and move in by May 15th &nbsp;you will &nbsp;receive $200.00 off&nbsp;May&#39;s rent.&nbsp;&nbsp; Call 226-4980 today for details!</font></p>"
210,"407GRA","<p><font size=""4"">Holiday specials are upon us. Call us for our latest pricing!!</font></p><p><font size=""4""></font></p><p><font size=""4"">Granada Villas Leasing Staff</font></p>"
212,"93TDS","<p><font face=""book antiqua,palatino"" size=""3"">Updated Resident Referal Program......</font></p><p><font face=""book antiqua,palatino"" size=""3"">Refer a Friend, Family Member, or Co-Worker to Tierra Del Sol Apartments and they move in, you will receive a $150 referal fee for the 1st referral. Your 2nd referral that moves in, you will receive $300. Your 3rd referral that moves in, you will receive ONE MONTH FREE! They must mention your name the 1st time they come in. Call the office for details, 480-827-8553. </font></p>"
290,"106CTR","<font face=""comic sans ms,sand"" size=""3"" color=""#008000"">How does paying no rent in May sound?&nbsp; We can&nbsp;help make it&nbsp;happen!!&nbsp; Speak with Nic or Nadine for details - 303-306-0500 or <a href=""mailto:centerpointeeast@amcllc.net"">centerpointeeast@amcllc.net</a></font>"
215,"87ALL","<p><font size=""5"">$499 MOVE IN FOR MAY!! (OAC)</font></p><p><font size=""5"">ASK ABOUT OUR PREFERRED EMPLOYER AND STUDENT DISCOUNTS!!</font></p>"
220,"27SCW","<p>Reduced Rents up to $1000.00 off! Call for details!</p>"
225,"94GWA","<p><strong><font face=""Book Antiqua"" size=""6""><font size=""5"" color=""#ff0000""><u>REDUCED RATES &amp; FREE RENT!!</u></font></font></strong></p><p><strong><em><font face=""Book Antiqua"" size=""4"" color=""#003366"">* 1 BEDROOM STARTING @ $499!!!</font></em></strong></p><p><strong><em><font face=""Book Antiqua"" size=""4"" color=""#003366"">* 2 BEDROOMS STARTING @ $649!!&nbsp;</font></em></strong></p><p><font face=""book antiqua,palatino"" size=""4"" color=""#003366""><em><strong>* Same Day Approval!</strong></em></font></p><p><font face=""book antiqua,palatino"" size=""4"" color=""#003366""><em><strong>* Immediate Move&nbsp;In Available!</strong></em></font></p><p><strong><em><font face=""Book Antiqua"" size=""4"" color=""#003366"">* Our&nbsp;apartments feature your own WASHER&nbsp;</font></em></strong><strong><em><font face=""Book Antiqua"" size=""4"" color=""#003366"">&amp; DRYER for your convenience!</font></em></strong></p><p><font face=""book antiqua,palatino"" size=""4"" color=""#003366""><em>Call us today to for more information</em> <strong>480-830-2988</strong><em>. We look forward to meeting you!</em></font></p>"
294,"98SWT","<p><font face=""impact,chicago"" size=""5"" color=""#800000"">Play ground!!!!</font></p>"
228,"96LWB","<p><strong><font face=""georgia,palatino""><font size=""4"" color=""#000000"">SUN-Believable </font></font></strong></p><p><font size=""4""><font color=""#000000""><strong><font face=""georgia,palatino"">SPECIALS </font></strong><strong><font face=""georgia,palatino"">at </font></strong></font></font></p><p><font face=""georgia,palatino""><font size=""4""><font color=""#000000""><strong>LAKEFRONT at West Bay</strong><strong>!!</strong></font></font></font></p><p><strong><font face=""georgia,palatino""><font size=""4"" color=""#000000"">Summer Specials with&nbsp;&nbsp; </font></font></strong></p><p><strong><font face=""georgia,palatino"" size=""4"" color=""#000000"">Rent starting $200 </font></strong></p><p><strong><font face=""georgia,palatino"" size=""4"" color=""#000000"">below </font></strong></p><p><strong><font face=""georgia,palatino"" size=""4"" color=""#000000"">Market Rent!!</font></strong></p><p><strong><font face=""georgia,palatino"" size=""4"" color=""#000000"">$300 move in OAC! </font></strong></p><p><font size=""4""><font color=""#000000""><strong><font face=""georgia,palatino"">Call Lindsay, Darlene </font></strong><strong><font face=""georgia,palatino"">or Taran </font></strong></font></font></p><p><strong><font face=""georgia,palatino"" size=""4"" color=""#000000"">TODAY for details!!</font></strong></p><p><strong><font face=""georgia,palatino"" size=""4"" color=""#000000"">480-838-6111</font></strong></p><p><strong><font face=""Georgia"" size=""4"" color=""#000000"">________________________</font></strong></p><p><strong><font face=""Georgia""><font size=""4"" color=""#000000"">Come Join the </font></font></strong></p><p><font size=""4""><font color=""#000000""><strong><font face=""Georgia"">Staff of Lakefront at </font></strong><strong><font face=""Georgia"">West Bay&nbsp;&nbsp; </font></strong></font></font></p><p><font size=""4""><font color=""#000000""><strong><font face=""Georgia"">on Friday May 22nd </font></strong><strong><font face=""Georgia"">@ 4:30pm </font></strong></font></font></p><p><strong><font face=""Georgia"" size=""4"" color=""#000000"">for our annual </font></strong></p><p><strong><font face=""Georgia"" size=""4"" color=""#000000"">POOL PARTY. </font></strong></p><p><strong><font face=""Georgia"" size=""4"" color=""#000000"">Family &amp; Friends are&nbsp;&nbsp; </font></strong></p><p><strong><font face=""Georgia"" size=""4"" color=""#000000"">WELCOME!!</font></strong></p><p><strong><font face=""Georgia""><font size=""4"" color=""#000000"">Refer a Friend and </font></font></strong></p><p><strong><font face=""Georgia"" size=""4"" color=""#000000"">Recieve $ off of your RENT</font></strong></p>"
240,"24WAS","<p><font face=""andale mono,times"" size=""4"" color=""#99cc00"">Thrifty Thursday Sale! One day only!</font></p><p><font face=""andale mono,times"" size=""4"" color=""#99cc00"">1 Bedroom&#39;s only $549</font></p><p><font face=""andale mono,times"" size=""4"" color=""#99cc00"">February Free</font></p><p><font face=""andale mono,times"" size=""4"" color=""#99cc00"">$0 oac</font></p><p><font face=""andale mono,times"" size=""4"" color=""#99cc00"">Free gift with every tour!</font></p><p><font face=""Impact"" size=""4"" color=""#ff00ff""><font face=""andale mono,times"" color=""#99cc00"">Refreshments!</font> </font></p><p><font face=""impact,chicago"" size=""4"" color=""#ff0000""></font></p><p>&nbsp;</p>"
266,"404SAB","<strong><font size=""2""><font face=""tahoma,arial,helvetica,sans-serif"">&quot;<font size=""3"">Currently, we do not have any vacancies.&quot;</font></font></font></strong>"
249,"86PHR","<p><font face=""georgia,palatino"" size=""4"" color=""#ff00ff""><strong>!!!Attention residents!!! If you pay your rent on or before March 25th you will be entered to win $50 off of May&#39;s rent!!!</strong></font></p><p><strong><font face=""Georgia"" size=""4"" color=""#ff00ff"">It pays to refer!! If you refer anyone to us and they rent, you will recieve $250 off your rent!!</font></strong></p>"
267,"121LOW","<p><font face=""times new roman,times"" size=""6"" color=""#ff0000""><em><strong>We will move you for FREE!!!!! </strong></em></font></p><p><font face=""times new roman,times"" size=""6"" color=""#ff0000""><em><strong>Call office for details</strong></em></font></p>"
