"ID","propertyCode","propertyName","propertyAddress","propertyCity","propertyState","propertyZip","propertyPhone","propertyFax","propertyEmail","propertyImage","propertyURL","propertyStatus","propertyPriceRange","propertyUnitType","propertySpecial","propertyMercial","propertyDescription","propertyHours","propertyPetPolicy","propertyDirections","propertyTheme","validation"
13,"21SPG","The Springs","7511 N. First Street","Fresno","CA","93720","5594391076","5594390898","thespringsapts@mindspring.com","springs.gif","http://www.springsapts.com","Active","$885-$1350","1-3 Dormitorios","","","Bienvenido a Las Primaveras. Nuestra ubicación conveniente le pone exactamente donde usted quiere ser. Nosotros les ofrecemos a nuestros residentes el más fino en servicios modernos: inclusive un centro deportivo, dos piscinas, y patios encerrados. Con una gran variedad de diseños de apartamento, Las Primaveras tienen un espacio vital para cada necesidad. Visítenos empezar hoy viviendo el estilo de vida que usted merece. Ofrecemos también otras características tales como: ajardinar hermoso (que incluye lagos, y cayendo en cascada las primaveras), chimeneas de woodburning, el aire acondicionado central, garajes privados, un campo de juegos, un área de barbacoa, y las facilidades de ropa sucia con conexiones individuales en apartamentos. ","El lunes - el viernes 8:00 a 5:00<br>
El sábado 10:00 a 5:00<br>
El domingo cerrado","Los animales favoritos bajo 65 lbs. $25 por el alquiler de animal favorito de mes","De yo-41 viajar al norte: sale en la Avenida Oriental de Herndon. Gire a la izquierda en Norte Primero Calle. Viajar 2 de marca de norte dejó la vuelta al oeste en Paso Oriental de El. Las Primaveras son localizadas a su izquierda. ","Blue_Theme.css",""
14,"20RIB","Riverbank","4433 Continental Way","Stockton","CA","95207","(209)477-6691","(209)957-1969","riverbank477@sbcglobal.net","riverbank.gif","http://www.riverbankapartments.com","Active","$585-$675","1-2 Dormitorios","&#161;Hasta $500,00 de primer alquiler de mes! ","","Del día muy primer. ..you’re en casa. CONDOMINIOS de RIBERA SON LOCALIZADOS EN UNA UBICACION CONVENIENTE. ..close a compras. La ribera es una calma, recluido, la comunidad de gated. Ofrecemos mismo servicio de la conservación de día. ¡Nuestro lema es ""el ALQUILER PARA EL VALOR, PERMANECE PARA EL SERVICIO""! ","El lunes - el viernes 9:00 a 6:00<br>
El sábado 10:00 a 4:00<br>
El domingo cerrado","Los gatos Sólo $250,00 depósito de Animal Favorito","De yo-5, toman la salida de Senda de marzo y gira a la derecha. Haga un derecho en Senda Occidental. Vaya un sur del bloque y gire a la derecha en el Camino de Bianchi. Gire a la izquierda en el primer stop- Townhome Maneja. Vaya 2 bloques y la vuelta dejó en la Manera de Cobana. ","Tan_Theme.css",""
15,"13VPA","Village Park","1083 N. 300 W.","Orem","UT","84057","(801)226-0064","(801)225-7566","villagepark@amcllc.net","villagepark.gif","http://www.villageparkapartments.com","Active","$760 to $860","2-3 Dormitorios","","","Localizado en el corazón de la Ciudad de Orem, nosotros representamos espacioso dos y tres apartamentos de bebroom. La atmósfera agradable de parque-como, cierra a escuelas y compras. Ubicación conveniente. ..Pet Amistoso. ..Very Apartamentos Espaciosos... ","El lunes - el viernes 9:00 a 6:00<br>
El sábado 11:00 a 3:00<br>
El domingo cerrado","2 máximo de animales favoritos, 35 peso máximo de lbs, $25 alquiler/mes de animal favorito, $300 honorario de animal favorito, $150 no reembolsable. ","De yo-15 salida 800 Cabeza del norte de Orem al este hacia Indica S. En Indica cabeza de S. al norte. Estamos en la zona del este del camino detrás del Auto a cuadros. ","Tan_Theme.css",""
104,"114SUM","The Summit","9081 Federal Blvd","Westminster","CO","80260","(303)428-0128","(303)427-0903","thesummit@amcllc.net","thesummit.jpg","http://www.amcapartments.com","Active","$575-$949","1-3 Dormitorios","","","¡La Cumbre fue creada para los que saben lo que ellos quieren fuera de vida! Nuestros hogares elegantes de la distinción proporcionan vivir despreocupado con el servicio personalizado. Usted será rodeado por la belleza y la vitalidad naturales. Con nuestra ubicación central, usted es apenas minutos de cenar de multa, las compras y la recreación. Con características el internet tal como de alta velocidad, las pistas de voleibol y una piscina, usted estará viviendo la vida buena en La Cumbre. ","El lunes - el viernes 8:30 a 5:30<br>
El sábado Por Cita<br>
El domingo cerrado","Las restricciones de la casta aplican, por favor llamada para detalles. ","De Autopista. 36: sale Bulevar Federal al norte a la Calle 92. Continúe a La Cumbre. ","Tan_Theme.css",""
109,"23CMP","Clearview","1554 Alder","Wendover","NV","89883","(775) 232-9392","","clearviewmhp@amcllc.net","noimage.gif","http://www.amcapartments.com","Active","","","","","","","","","Tan_Theme.css",""
114,"113RFA","River Falls","100 S. Sable Blvd.","Aurora","Co","80012","(303) 366-4004","(303) 341-9505","riverfalls@amcllc.net","riverfalls.jpg","http://www.riverfallsapts.com","Active","$570-755","1 dormitorios de dormitorios 2x1","","","¡Céspedes verdes rodantes y ajardinar maduro exuberante! Riverfalls ofrece una colocación relajada donde usted puede pasear hacia abajo nuestros senderos de parque-como o gozar la soledad de su patio. En Riverfalls, usted encontrará la mezcla perfecta de vivir bueno, los precios razonables y el servicio profesional. ","El lunes - el viernes 9:00 a 6:00<br>
El sábado 9:00 a 6:00<br>
El domingo 1:00 to 5:00 ","<p>Gatos y Perros</p><p>Las restricciones de la casta aplican y un 50 peso máximo</p>","De yo-225, la Avenida de la salida Alameda y va al este. Siga a la Marta y la vuelta dejó y estamos en su derecho. ","Tan_Theme.css",""
17,"18CVA","Chatham Village","16331 McFadden Ave.","Tustin ","CA","92780","(714) 836-5702","(714) 836-7569","chathamvlg@sbcglobal.net","chathamvillage.gif","http://www.chathamvillageapts.com","Active","$1070-$1400","1-2 Dormitorios","","","GOCE EL CONSUELO Y la CONVENIENCIA DE la ALDEA ENCANTADORA de CHATHAM. Pare en ver hoy nuestro espacioso uno y dos floorplans-inclusive de dormitorio nuestro townhomes partido-plano. Nuestra ubicación conveniente le pone a los pocos minutos del 5, 22 y 55 Autopistas, Metrolink, las playas, haciendo de compras y el entretenimiento. La Aldea-vivienda razonable de Chatham dentro de una comunidad encantadora. ","El lunes - el viernes 9:00 a 6:00<br>
El sábado 9:00 a 5:00<br>
El domingo cerrado","Ningunos animales favoritos permitieron","De la 55 Autopista al sur, la salida McFadden, gira a la derecha en la Manera de la Aldea, y dejó en McFadden. Estamos a la derecha. De la 55 Autopista al norte, la salida McFadden, la vuelta dejó en Pasadena, y dejó en McFadden. Estamos a la derecha. ","Tan_Theme.css",""
18,"19VAT","Villas at Tustin","2414 N. Tustin Ave.","Santa Ana","CA","92705","(714) 547-4520","(714) 547-9025","leasing@villasattustin.com","villasattustin.gif","http://www.villasattustin.com","Inactive","$1050-$1510","studios, 1, and 2 Bedrooms","Up to one month free!!!","","The recently remodeled Villas at Tustin has a great location, terrific service, and fantastic prices all in one!. Featuring studio, 1-bedroom, 2-bedroom, and 2-bedroom townhomes. The Villas at Tustin is in the center of Orange county and is close to everything from shopping to dining, to entertainment, and schools! The 5, 55, and 22 freeways provide access to all that Southern California has to offer, including Disneyland, Main Place, South Coast Plaza, and the Marketplaces of Irvine/Tustin. ","M-F: 9:00 AM - 6:00 PM <br />Sat: 9:00 AM - 6:00 PM <br />Sun: 10:00 AM - 5:00 PM ","Small pets only, up to 30 pounds. ","From Fwy. 22 east: exit Tustin Ave and turn right, go South about one block and The Villas at Tustin is on the right-hand side. From Fwy. 55: exit 17th Street and go west to Tustin Avenue. Make a right on Tustin and The Villas at Tustin is on the left-hand side, just past Santa Clara Ave.","Sage_Theme.css",""
19,"17SEA","Sea Pointe Villas","1380 Village Way","Costa Mesa","CA","92626","(714)662-7368","(714)662-7229","seapointe@amcllc.net","seapointe.jpg","http://www.seapointevillas.com","Active","$1245-$1820","1-2 Dormitorios","","","Esta comunidad hermosa de gated tiene tanto ofrecer. Ponga dentro de un oasis exuberante de ajardinar excepcional, el Mar Pointe ofrece grande 1, 2 y 3 hogares de apartamento de condo-estilo de dormitorio. Representamos los arandela/secadores, las chimeneas, los vestidores, ventanas de invernadero, una piscina, el balneario, la sauna, el centro deportivo y mucho más. Nuestro lema es. el cuidado ..we. Venga y vea por qué. ","El lunes cerrado<br>
Martes Sat. 9:00 a 6:00 <br>
El domingo cerrado","Damos la bienvenida *pequeños animales favoritos. (*A prueba. Algunas restricciones aplican). ","El puerto de la salida y va al sur. Gire a la izquierda en Manera de Aldea. Haga a un Panadero correcto de afer. Estamos a la izquierda. ","Tan_Theme.css",""
20,"06COV","Coventry Cove ","12800 S. 2091 W.","Riverton","UT","84065","(801)307-1600","(801)307-1601","jvanhorn@coventrycoveapts.com","coventrycove.jpg","http://www.coventrycoveapts.com","Active","$660-$950","1-2 Dormitorios","Nuevo 55 + la Comunidad Mayor","","¡Un estilo de vida para mayores de hoy! La conveniencia, la intimidad y la tranquilidad son suyas en Apartamentos de Ensenada de Coventry. Una completamente nueva comunidad diseñó específicamente abrazar un estilo de vida despreocupado y agradable para adultos 55 años y más viejo. Relájese en la atmósfera amistosa o tome la parte en nuestras actividades y los servicios planeados que nuestra comunidad tiene que ofrecer. Pregunte por nuestros servicios de sanidad y liberte la entrega de Rx. ","El lunes - el viernes 9:00 a 5:00<br>
El domingo cerrado","¡Damos la bienvenida sus animales favoritos! ¡Llámenos para más información! ","De yo-15 toman la Salida de Riverton/Pañero #291, la vuelta al oeste en 12300 al sur a la vuelta del Rd de la Secoya al sur a 12800 vuelta del Sur al oeste a la propiedad","Blue_Theme.css",""
28,"15TPA","Torrey Pines","851 S. Sunset Ave.","West Covina","CA","91790","(626)962-2231","(626)851-4742","manager@torreypinesapartments.com","torreypines.jpg","http://www.torreypinesapartments.com ","Inactive","$1395-$1850","1-3 Bedrooms","","","Service...Convenience...Comfort...it’s all at Torrey Pines. We invite you to tour our community and meet our great team. We feature two and three bedroom floorplans in the great city of West Covina. Our location is central to freeways, shopping, entertainment and the West Covina school district. Find you new home at Torrey Pines and enjoy meeting your new neighbors with our planned resident activities. ","Mon-Fri 9:00 to 6:00 <br>
Sat 9:00 to 6:00 <br>
Sun - 10:00 to 5:00","Pets Welcome!","Located just east of the 605 freeway, off the 10.  Exit West Covina Pkwy, Southbound.  Right on Sunset Avenue.
","Tan_Theme.css",""
83,"107BCA","Belle Creek","9458 Longspeak Dr. Suite #110","Henderson","CO","80640","(303) 286-1439","(303) 286-3905","bellecreek@amcllc.net","bellecreek.jpg","http://www.bellecreekapts.com/","Active","$660-$1028","1-3 Bedrooms","","","<p>Belle Creek Apartments have a big city design with a hometown feel. We have three spacious floorplans to choose from so we know&nbsp;is one right for you. With the AMC property manager and maintenance tech of the year, Belle Creek is dedicated to service and finding the right fit for your needs. Hurry in!!! They don&#39;t last long!!</p>","<p>Mon-Fri 9:00 to 6:00<br />Sat 10:00 - 5:00<br />Sun - Closed</p>","We accept up to 2 pets. No aggressive breeds. 50lb weight limit. There is a $150 refundable deposit and a $150 non-refundable pet fee per pet. $15.00 Pet Rent per pet!","HWY 76 East to HWY 85 North. Just past 104th Ave. Turn left onto Longs Peak. Turn left at Belle Creek. The Leasing Center is on the left.","Blue_Theme.css",""
94,"112MKT","52nd Marketplace","7797 West 52nd Ave.","Arvada","CO","80002","(303) 424-4900","(303) 424-2174","52ndmarketplace@amcllc.net","52ndmarketplace.jpg","http://www.52ndmarketplaceapts.com","Active","$550 - $850","1-2 Dormitorios","","","El precio de Oustanding, la calidad y el servicio son lo que usted hará aleta en el Mercado 52! Ofrecemos floorplans hermoso, chispeando las piscinas y el internet de alta velocidad. Nosotros también somos localizados convenientemente apenas minutos de yo-70 y los pasos de las compras, las escuelas y los parques. Relájese. ..you’re siempre en casa en el Mercado 52","El lunes - el viernes 8:30 a 5:30<br>
El sábado 10:00 a 4:00<br>
El domingo cerrado","La llamada para acaricia la política. ","De yo-70, van al norte en Wadsworth 1/4 milla. Gire a la izquierda en 52. Avenida. Vaya 1/4 milla y gire a la derecha cuando usted ve nuestro signo. ","Tan_Theme.css",""
103,"153PYR","Pyramid Apartments","7055 East Lake Mead Blvd.","Las Vegas","NV","89156","(702) 438-6199","","pyramid@amcllc.net","pyramidapartments.jpg","http://www.pyramidapts.com","Active","$745-$900","1-2 Dormitorios","","","Vuelva a casa a la Pirámide. Apenas minutos de la Base aérea de Nellis, esta comunidad ofrece los servicios sobresalientes, en un precio razonable, Visita hoy y acepta nuestras vistas de la ciudad espectaculares y prepara para ser impresionado. ¡Resérvele nuevo hogar hoy! ","El lunes - el viernes 8:00 a 5:00<br>
El sábado 8:00 a 5:00<br>
El domingo cerrado","","Tome EEUU-95 salida al este en Charleston, la vuelta dejó en Hollywood, correcto en el Bulevar Oriental de Aguamiel de Lago y nosotros estamos a la derecha. Vea Mapa","Sage_Theme.css",""
21,"30SBA","Shadowbrook","3860 S. Redwood Rd.","West Valley City","UT","84119","(801)972-6666","(801)972-6683","leasing@shadowbrookapartments.com","shadowbrook.jpg","http://www.shadowbrookapartments.com","Active","$595-$875","Dormitorios Studio,1,2","","","Del día muy primer. ..you’re en casa. La experiencia empieza el momento usted se acerca la entrada espectacular de la catarata. El entusiasmo construye como usted advierte el motivo hermosamente ajardinado. Y entonces, en el corazón de ello todo... los servicios primeros de la recurso-clase que usted merece generosamente. La experiencia puede ser suya cuando usted hace Shadowbrook su nuevo hogar. ","El lunes - el viernes 9:00 a 6:00<br>
El sábado 10:00 a 4:00<br>
El domingo cerrado","Acaricie el depósito (por animal favorito) Bajo 25lbs. ¡$300/150 límite de no-ref 2 $35/mo por animal favorito Cría las Restricciones! ","De yo-215 salida 3500 al sur. Dirija al este al Camino de la Secoya, gira a la derecha. Siga acerca de 1/2 milla a Shadowbrook en su derecho. ","Tan_Theme.css",""
22,"31OVP","Overlook Point","4612 S. 2930 W.","West Valley City","UT","84119","(801)966-0132","(801)967-7313 ","overlookpoint@amcllc.net","overlookpoint.jpg","http://www.overlookpointapts.com","Active","$650-$970","1-2-3 Dormitorios","","","Del día muy primer. ..you’re en casa. En cada ciudad, ciertos nombres llevan el significado especial. En la Ciudad Occidental del Valle, el nombre Deja pasar el Punto ha llegado a ser conocido como el apartamento primero en casa. De la vista espectacular de montaña, a la ubicación conveniente, Deja pasar el Punto incluye muchos servicios emocionantes. ","El lunes - el viernes 10:00 a 6:00<br>
El sábado 10:00 a 4:00<br>
El domingo cerrado","Los gatos y los Perros hasta 65lbs. Los animales favoritos deben por lo menos de 1 años de edad. ","De yo-215 salida en 4700 al sur, gira al oeste. Siga acerca de 2 bloques para Dejar pasar el Punto en su derecho. ","Tan_Theme.css",""
23,"41DSA","Desert Sky","9655 Las Vegas Blvd.","Las Vegas","NV","89123","(702) 270-2012","(702) 270-2016 ","leasing@desertskyapts.com","desertsky.jpg","http://www.desertskyapts.com","inactive","$700-$980","1-3 Dormitorios","","","El estilo de Las Vegas y elegancia le saludarán como usted entra por nuestras puertas para Desertar Apartamentos de Cielo. Cada hogar ha sido diseñado con su consuelo en la mente. Nuestro tres floorplans, El Carmesí, el Ambar y el Cian ofrecen las características interiores claras tales como, las cocinas completamente equipadas de diseñador completan con el poder equilibrado, las microondas, fregaderos inoxidables de acero, se desayunan las barras y la ebanistería blanca. Las características adicionales incluyen ventiladores de techo, las puertaventanas, trabajan en el jardín tinas, el arandela/secador repleto del tamaño, las entradas cerámicas de mosaico y techos abovedados. ","El lunes - el viernes 8:00 a 6:00<br>
El sábado 8:00 a 5:00<br>
El domingo 12:00 PM - 5:00 PM ","· Gatos · Pequeños Perros $300 acarician el honorario y $15 alquiler mensual de animal favorito. ","De yo-15 al sur: Salga en Diamante Azul al Bulevar de Las Vegas. Los Apartamentos del Cielo del desierto están a la derecha. ","Tan_Theme.css",""
24,"12PSA","Pleasant Springs","884 West 700 South","Pleasant Grove","UT","84062","(801)922-9400","(801)922-9401","pleasantspring@amcllc.net","pleasantsprings.jpg","http://www.pleasantspringsapts.com","Active","$849-$1129","1-3 Dormitorios","&#161;Pregunte por nuestro Pre-Arrendar Especial! ","","<p>Dé la bienvenida en casa a Primaveras Agradables, la comunidad primera Agradable de apartamento de Arboleda. Las Primaveras agradables personifican todos los consuelos de vivir de lujo mas localizado en una colocación callada del país. Cada característica de la calidad y el servicio fueron diseñados con su consuelo principal en la mente. ¡Venga la experiencia un estilo de vida superior en Primaveras Agradables hoy!</p><p>Cuando una puerta cierra, otro abre... </p><p>         ¡Las Primaveras agradables entienden los Ejecuciones de una hipoteca!</p>","El lunes - el viernes 9:00 a 6:00<br>
El sábado 10:00 a 4:00<br>
El domingo cerrado","Los animales favoritos dan la bienvenida en edificios selectos. Peso máximo 50lbs. Castas restringidas. Acaricia 35pds y bajo $500 depósito de animal favorito $25 alquiler mensual de animal favorito. Los animales favoritos 36-50 pgdo $600 depósito de animal favorito $50 alquiler mensual de animal favorito. ","Yo-15 toman la salida #275 (la Salida Agradable de Arboleda/Lindon) y diríjase al Este. Gire a la derecha en 700 al sur, nosotros somos aproximadamente 1/2 milla hacia abajo a la izquierda. ","Sage_Theme.css",""
25,"40SRA","Sunset Ridge","5910 Vista Ridge Point","Colorado Springs","CO","80918","(719)598-1400","(719)598-6440","leasing@sunsetridgeamc.com","sunsetridge.jpg","http://www.sunsetridgeamc.com","inactive","$650-$1215","1-3 Dormitorios","Hasta $1200 Alquiler Libre - el Ej&#233;rcito Descuenta","","Esta comunidad hermosa y moderna del apartamento es situada en Primaveras del noreste de crecimiento rápido de Colorado, y representa los servicios panorámicos de vistas y lujo. El acceso fácil a por-precios del billete mayores, los empleadores, las escuelas, y las marcas de parques que viven al atardecer Arista un placer. Ellos son todo apenas minutos lejos. Usted vivirá en el estilo y el consuelo, con la administración de la calidad y alquileres competitivos. Goce la piscina que chispea, engatusa jacuzzi, y completa centro deportivo. Aclare su vida, al atardecer Arista. ","El lunes - el viernes 9:00 a 6:00<br>
El sábado 10:00 a 5:00<br>
El domingo 10-3
","El gato y los Perros hasta 50 libras. Por acaricia un $300 depósito ($150 reembolsable). El alquiler del animal favorito es $25 por mes. ","De la vuelta de Academia al norte en Vickers Dr. Este en la Arista de Puesta del sol de Vickers Dr. ","Tan_Theme.css",""
115,"151ROY","Royal Vista","3230 Imperial Way","Carson City","NV","89706","(775) 883-1219","(775) 883-1230","royalvista@amcllc.net","royalvista.jpg","http://www.amcapartments.com","Active","from $595","Un Dormitorio","","","","El lunes - el viernes 9:00 a 5:00<br>
Sentado por appt. sólo","A prueba","","Tan_Theme.css",""
